MARCA TEMPORAL;PAÍS;UNIVERSIDAD;OTRA UNIVERSIDAD;GENERO UNIVERSIDAD;LA PANDEMIA EXTENDIÓ MIS HORAS DE TRABAJO;DURANTE LA PANDEMIA MODIFIQUÉ LAS RUTINAS (INTERACCIÓN, ATENCIÓN, REUNIONES), DENTRO DE MI TRABAJO;LA CONCENTRACIÓN O ATENCIÓN EN EL TRABAJO FUERON ALTERADOS POR LA PANDEMIA.;HA PRESENTADO DIFICULTADES EN LAS RELACIONES LABORALES CON SU SUPERIOR DURANTE LA PANDEMIA;¿CONSIDERA QUE LA INTERACCIÓN VIRTUAL CON SUS JEFES, PUEDE CONTRIBUIR A SU SALUD MENTAL?.;¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?;CONSIDERO QUE EL EQUILIBRIO MENTAL, CONTRIBUYE AL RENDIMIENTO LABORAL. *;HE TENIDO QUE INTERACTUAR DURANTE LA PANDEMIA, CON PERSONAS QUE PRESENTAN FACTORES DE RIESGO MENTAL.;¿CONSIDERA QUE LOS PROCESOS DE PREVENCIÓN, DISMINUYEN EL NÚMERO DE CASOS DE ALTERACIONES MENTALES DURANTE LA PANDEMIA?;HE VISTO UN AVANCE SIGNIFICATIVO DURANTE LA PANDEMIA EN LOS TEMAS DE SALUD MENTAL, COMO UNA PRIORIDAD GLOBAL;HE USADO ESTRATEGIAS DE AUTOCUIDADO MENTAL (MEDITACIÓN, ACTIVIDAD FÍSICA, ETC), PORQUE CONSIDERO QUE CONTRIBUYEN A LA SALUD MENTAL. *;CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?
2021-06-10 15:23:24.631698;ECUADOR;UNIVERSIDAD ESTATAL DE MILAGRO;;MASCULINO;5;5;5;5;5;5;4;4;4;4;4;4
2021-06-15 15:10:36.902467;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;5;1;1;4;5;1;1;4;5;5
2021-06-15 05:43:50.202107;ARGENTINA;UNIVERSIDAD DE BUENOS AIRES;;MASCULINO;4;4;3;2;3;3;5;4;4;1;3;1
2021-06-15 08:55:40.381648;ARGENTINA;UNIVERSIDAD DE LA CUENCA DEL PLATA;;FEMENINO;5;5;5;4;5;5;5;1;5;2;4;3
2021-06-15 11:26:07.441763;ARGENTINA;UNIVERSIDAD DEL NORTE SANTO TOMÁS DE AQUINO;;MASCULINO;5;5;3;4;3;3;5;4;3;5;1;3
2021-06-15 16:09:55.512667;ARGENTINA;UNIVERSIDAD NACIONAL DE LUJAN;;MASCULINO;4;4;4;3;3;5;5;2;4;3;4;1
2021-06-15 16:39:59.527815;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;5;5;1;1;3;5;4;3;3;3;3;3
2021-06-15 13:18:57.375332;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;FEMENINO;5;5;4;5;4;5;5;3;5;4;4;4
2021-06-15 13:20:02.315795;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;2;3;5;4;4;3;3;4;3
2021-06-15 13:20:04.700841;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;2;1;5;5;5;4;4;4;3;3
2021-06-15 13:20:44.936440;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;4;1;5;5;5;3;4;4;4;5
2021-06-15 16:28:50.381070;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;1;4;4;2;4;4;5;3;5;4;5;3
2021-06-15 13:23:29.436249;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;5;2;5;5;5;4;4;4;2
2021-06-15 16:59:43.292360;ARGENTINA;UNIVERSIDAD CATÓLICA DE SANTIAGO DEL ESTERO;;FEMENINO;5;5;2;2;4;5;5;2;4;3;1;2
2021-06-15 13:27:06.767917;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;3;3;2;4;4;5;1;5;3;5;3
2021-06-15 13:32:00.210440;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;4;4;4;5;3;2;2;2;2
2021-06-15 16:46:00.815086;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;2;5;5;1;2;5;4;3;3;2;4;2
2021-06-15 13:43:54.986334;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;4;5;5;4;4;4;3;3;4;5;3
2021-06-15 15:24:07.984085;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;2;4;2;3;4;5;5;1;4;4;4;4
2021-06-15 13:53:34.849472;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;1;3;5;5;1;4;4;5;4
2021-06-15 13:56:21.511467;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;5;4;4;5;5;4;5;2;5;5
2021-06-15 17:16:43.386914;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;FEMENINO;4;4;2;3;3;4;4;3;4;3;4;3
2021-06-15 13:58:19.373226;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;5;3;1;4;5;5;3;3;5;5;5
2021-06-15 13:58:24.600077;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;5;2;1;1;1;4;5;4;5;3;5;4
2021-06-15 14:00:29.310209;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;5;5;4;5;5;5;5;5;1;4;4
2021-06-15 14:13:08.467862;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;4;4;3;3;3;3;5;3;4;3;3;3
2021-06-15 14:15:20.957695;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;2;5;5;1;5;4;5;4;4;1;4;2
2021-06-15 14:25:42.993546;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;5;1;5;5;5;5;5;5;4;3
2021-06-15 14:35:06.844061;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;5;5;5;4;4;5;5;4;3;5;5
2021-06-15 18:42:30.541333;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;3;4;2;1;3;4;3;1;4;4;4;3
2021-06-15 18:24:54.672180;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;FEMENINO;5;5;3;2;4;4;4;4;4;4;5;3
