MARCA TEMPORAL	PAÍS	UNIVERSIDAD	OTRA UNIVERSIDAD	GENERO UNIVERSIDAD	LA PANDEMIA SOBRECARGÓ MI TRABAJO COMO PROFESOR	¿ESTÁ DE ACUERDO CON LA MODIFICACIÓN DEL MÉTODO DE ENSEÑANZA PARA LAS CLASES VIRTUALES?	LA CONCENTRACIÓN O ATENCIÓN EN EL TRABAJO FUERON ALTERADOS POR LA PANDEMIA.	LA PANDEMIA CAMBIÓ MI CURIOSIDAD Y MOTIVACIÓN CIENTÍFICA.	LA INTERACCIÓN VIRTUAL CON LOS ESTUDIANTES PUEDE CONTRIBUIR A SU SALUD MENTAL	¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?	¿CONSIDERA QUE EL EQUILIBRIO MENTAL, CONTRIBUYE AL RENDIMIENTO ACADÉMICO EN EL AULA DE CLASES?	HE TENIDO QUE INTERACTUAR DURANTE LA PANDEMIA, CON PERSONAS QUE PRESENTAN FACTORES DE RIESGO MENTAL.	¿CONSIDERA QUE LOS PROCESOS DE PREVENCIÓN, DISMINUYEN LA CANTIDAD DE CASOS DE ALTERACIONES MENTALES DURANTE LA PANDEMIA?	HE VISTO UN AVANCE SIGNIFICATIVO DURANTE LA PANDEMIA EN LOS TEMAS DE SALUD MENTAL, COMO UNA PRIORIDAD GLOBAL	HE USADO ESTRATEGIAS DE AUTOCUIDADO MENTAL (MEDITACIÓN, ACTIVIDAD FÍSICA, ETC), PORQUE CONSIDERO QUE CONTRIBUYEN A LA SALUD MENTAL.	CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?
2021-06-12 09:25:09.137920	ARGENTINA		UNIVERSIDAD FASTA	MASCULINO	5	5	5	5	5	5	5	3	5	2	3	4
2021-06-14 09:49:34.326600	ARGENTINA	UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO		MASCULINO	5	4	5	3	3	5	5	4	4	3	3	3
2021-06-14 15:51:29.070463	BRASIL	CENTRO UNIVERSITARIO DO INSTITUTO MAUA DE TECNOLOGIA		MASCULINO	4	5	3	4	3	4	5	2	3	5	4	3
2021-06-14 16:35:50.084479	ARGENTINA	UNIVERSIDAD CATÓLICA DE SANTIAGO DEL ESTERO		MASCULINO	3	5	1	3	4	4	5	3	4	3	3	2
2021-06-15 05:46:35.278344	ARGENTINA	UNIVERSIDAD NACIONAL DEL SUR		MASCULINO	4	5	2	2	4	5	5	2	3	3	5	3
2021-06-15 15:28:47.421766	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	5	5	3	3	5	4	5	4	5	2	3	3
2021-06-15 09:35:53.750005	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	5	2	5	2	5	5	5	2	4	4	4	1
2021-06-15 17:14:32.523583	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		MASCULINO	5	3	5	4	4	4	5	2	2	2	4	2
2021-06-15 15:35:03.739206	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PLATA		FEMENINO	5	5	5	2	1	5	5	3	1	1	3	1
2021-06-15 10:25:10.365427	ARGENTINA	UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO		FEMENINO	5	4	5	4	4	4	5	3	4	3	3	3
2021-06-15 10:50:02.010904	ARGENTINA	UNIVERSIDAD TECNOLOGICA NACIONAL		MASCULINO	4	4	4	3	4	4	4	3	4	3	4	3
2021-06-15 15:37:37.609221	ARGENTINA	UNIVERSIDAD NACIONAL DEL LITORAL		FEMENINO	5	5	5	2	1	5	5	4	3	3	5	3
