MARCA TEMPORAL;PAÍS;UNIVERSIDAD;OTRA UNIVERSIDAD;GENERO UNIVERSIDAD;¿ESTÁ DE ACUERDO EN QUE SE HAYA MODIFICADO EL MÉTODO DE ESTUDIO PARA LAS CLASES VIRTUALES?;¿ESTÁ DE ACUERDO EN QUE LA CONCENTRACIÓN O ATENCIÓN CON EL ESTUDIO, FUERON ALTERADOS?;¿HA CAMBIADO SU CURIOSIDAD Y MOTIVACIÓN CIENTÍFICA CON LA PANDEMIA?;¿ESTÁ DE ACUERDO EN QUE LOS SENTIMIENTOS (AFECTOS, EMOCIONES) FUERON ALTERADOS POR LA PANDEMIA?;¿CONSIDERA QUE LA SALUD MENTAL PUEDE ALTERAR EL COMPORTAMIENTO EN TODO TIPO DE PERSONA?;¿CONSIDERA QUE SITUACIONES EXTERNAS, PUEDEN DESENCADENAR UN PROBLEMA DE SALUD MENTAL?;ME HE RELACIONADO CON ALGÚN TIPO DE ALTERACIÓN MENTAL EN EL TRANSCURSO DE LA PANDEMIA.;¿CONSIDERA QUE UNA PERSONA CON UNA ALTERACIÓN MENTAL, PUEDE REPRESENTAR UN RIESGO PARA LOS DEMÁS?;¿CONSIDERA QUE EL CONFINAMIENTO LE HA PROPORCIONADO OTRAS ALTERNATIVAS PARA SU NUEVO APRENDIZAJE?;¿ESTÁ DE ACUERDO EN QUE UNA ALTERACIÓN MENTAL, CAUSA RECHAZO SOCIAL?;CONTESTE LA SIGUIENTE PREGUNTA, SOLO SI USTED HA TENIDO UNA ALTERACIÓN EN SU SALUD MENTAL DURANTE LA PANDEMIA Y PUDO HABLAR/COMPARTIR LO QUE LE PASABA(AFECTOS EMOCIONES), CON SUS PARES O SUPERIORES.  ¿EL APOYO EMOCIONAL RECIBIDO DURANTE LA PANDEMIA (POR PARES O SUPERIORES), LE PERMITIÓ MANEJAR SU SALUD MENTAL?;¿CONSIDERA QUE LA PANDEMIA CAMBIÓ SU RENDIMIENTO ACADÉMICO COMO ESTUDIANTE?
2021-06-15 15:07:16.566292;ARGENTINA;UNIVERSIDAD TECNOLOGICA NACIONAL;;MASCULINO;2;5;4;5;5;5;4;2;2;4;1;4
2021-06-15 16:57:24.281564;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;FEMENINO;4;5;4;5;5;4;5;4;4;3;3;5
2021-06-15 15:18:17.068862;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;3;4;5;5;5;5;3;5;5;4;4
2021-06-14 19:59:32.229884;ARGENTINA;UNIVERSIDAD NACIONAL DE CHILECITO;;MASCULINO;3;4;4;4;3;4;3;4;4;4;3;4
2021-06-15 17:03:26.531053;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;4;4;4;5;5;4;2;4;5;3;3;4
2021-06-15 15:22:34.054744;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;2;5;3;4;5;4;3;5;1;3;1;5
2021-06-15 05:59:34.705052;ARGENTINA;UNIVERSIDAD NACIONAL DE CUYO;;MASCULINO;5;5;3;5;5;5;4;2;4;4;4;4
2021-06-15 15:24:42.463066;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;1;4;4;5;4;5;4;3;4;4;4;4
2021-06-15 06:20:12.464583;ARGENTINA;UNIVERSIDAD NACIONAL DE CUYO;;MASCULINO;3;5;4;5;4;3;1;4;5;1;5;2
2021-06-15 17:10:18.635159;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PLATA;;MASCULINO;4;4;2;5;5;5;4;4;5;5;5;3
2021-06-15 07:23:09.511036;ARGENTINA;UNIVERSIDAD NACIONAL DE CUYO;;MASCULINO;4;4;4;5;5;4;2;4;4;4;4;4
2021-06-15 09:18:15.595478;ARGENTINA;UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO;;MASCULINO;5;4;1;1;1;4;1;4;5;3;3;5
2021-06-15 15:31:16.321784;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO NEGRO;;MASCULINO;5;4;4;5;5;5;4;4;4;5;4;4
2021-06-15 09:39:47.868897;ARGENTINA;UNIVERSIDAD NACIONAL DE CUYO;;MASCULINO;4;5;4;4;4;4;1;4;5;4;3;5
2021-06-15 17:17:25.160547;ARGENTINA;UNIVERSIDAD NACIONAL DE RIO CUARTO;;FEMENINO;5;4;2;5;5;4;4;3;4;4;4;3
